comparator,term,coef,std_err_hc3,t_stat,p_value,ci_lower_95,ci_upper_95
MeanSD,C(N)[T.20]:C(Contamination)[T.0.1_upper],-0.024351485148514877,0.01025856502176832,-2.3737710973066766,0.01760746222903507,-0.04445790312424314,-0.004245067172786613
MeanSD,C(N)[T.25]:C(Contamination)[T.0.1_upper],-0.030004290429042665,0.00979441362307707,-3.0634085493743264,0.002188310784505441,-0.04920098837996219,-0.010807592478123147
MeanSD,C(N)[T.30]:C(Contamination)[T.0.1_upper],-0.0339999999999999,0.0096304755569724,-3.5304590929971393,0.00041483915897534934,-0.052875385245659115,-0.015124614754340678
MeanSD,C(N)[T.40]:C(Contamination)[T.0.1_upper],-0.04168481848184783,0.009501708519071955,-4.387086637963847,1.1487903876977965e-05,-0.060307824970826276,-0.023061811992869385
MeanSD,C(N)[T.50]:C(Contamination)[T.0.1_upper],-0.04486138613861355,0.009546207225907039,-4.699393704430192,2.6093499164981654e-06,-0.06357160849034736,-0.026151163786879733
MeanSD,C(N)[T.75]:C(Contamination)[T.0.1_upper],-0.05056468646864655,0.010100394382427906,-5.0062091195781555,5.551244669924736e-07,-0.07036109568785592,-0.030768277249437172
MeanSD,C(N)[T.100]:C(Contamination)[T.0.1_upper],-0.0524966996699667,0.01032164239686816,-5.086080068603761,3.6553978145384896e-07,-0.07272674702912997,-0.03226665231080343
MeanSD,C(N)[T.200]:C(Contamination)[T.0.1_upper],-0.05801848184818448,0.011176905896140765,-5.190925143980811,2.0925174562023895e-07,-0.07992481486321376,-0.0361121488331552
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.01_upper],-0.010802772277227713,0.004361349436991304,-2.4769334430308922,0.013251661104110336,-0.01935086009772471,-0.0022546844567307156
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.01_upper],-0.0074392079207921315,0.003423338253551374,-2.1730858506531425,0.029773856440022884,-0.014148827604651072,-0.0007295882369331907
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.01_upper],0.006242178217821525,0.0031779568370297632,1.9642111387691776,0.049505611604522985,1.349727282036299e-05,0.012470859162822687
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.01_upper],0.013271287128712842,0.004391388469899834,3.0221164034289036,0.0025101400188082402,0.004664323885584713,0.02187825037184097
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.01_upper],-8.316831683177067e-05,0.0034877390982633047,-0.023845911201667506,0.9809755186048201,-0.006919011336900052,0.006752674703236511
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.05_lower],-0.001769504950495048,0.004804979058336376,-0.36826486213817183,0.7126757502312345,-0.011187090851303528,0.007648080950313431
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.05_lower],-0.0013815841584157546,0.0027308795198321173,-0.5059117944905488,0.6129185720906533,-0.006734009663404741,0.003970841346573232
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.05_lower],-0.0009451485148519315,0.0027106849001929684,-0.34867516869432086,0.7273331882257015,-0.006257993292666701,0.004367696262962837
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.05_lower],-0.0009813861386136133,0.0037747368954798646,-0.25998795831009947,0.7948730621700825,-0.008379734504868681,0.006416962227641455
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.05_lower],-9.841584158415601e-05,0.0034349686895854825,-0.028651161183082696,0.9771428080887629,-0.006830830761194446,0.006633999078026135
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.05_upper],-0.05684693069306935,0.006436047314598799,-8.832584335438963,1.0228455005603405e-18,-0.06946135163247873,-0.04423250975365997
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.05_upper],-0.03508019801980193,0.003984678644044036,-8.803770932001473,1.322942691551028e-18,-0.04289002465209414,-0.02727037138750972
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.05_upper],0.005011287128712665,0.0038901714012963616,1.288191858858122,0.19767918522296168,-0.0026133087115159173,0.012635882968941248
MeanSD,C(distribution)[T.Right-skewed]:C(Contamination)[T.0.05_upper],0.020814455445544628,0.005169671210344965,4.026262908924087,5.6670324061897764e-05,0.010682086061354906,0.03094682482973435
MeanSD,C(distribution)[T.Uniform]:C(Contamination)[T.0.05_upper],0.006299207920791959,0.005456825628938186,1.1543722209825658,0.2483475989158419,-0.004395973781842014,0.016994389623425935
MeanSD,C(distribution)[T.Compressed Normal]:C(Contamination)[T.0.0_clean],0.00041722772277211673,0.004694853327745277,0.08886917090815531,0.9291858846334542,-0.008784515712306647,0.009618971157850882
MeanSD,C(distribution)[T.Left-skewed]:C(Contamination)[T.0.0_clean],0.00021861386138602023,0.0026301173565234197,0.0831194322351424,0.9337565746221426,-0.004936321432513576,0.005373549155285616
MeanSD,C(distribution)[T.Normal]:C(Contamination)[T.0.0_clean],0.000242970297029902,0.0026065085396781208,0.093216766157193,0.9257313549168907,-0.004865692566135305,0.005351633160195109
